All_12_15,All_12_3,All_15_18,All_18_21,All_21_24,All_3_6,All_6_9,All_9_12,BikeFatal,Bike_12_15,Bike_12_3,Bike_15_18,Bike_18_21,Bike_21_24,Bike_3_6,Bike_6_9,Bike_9_12,Fatalities,MVFatal,MV_12_15,MV_12_3,MV_15_18,MV_18_21,MV_21_24,MV_3_6,MV_6_9,MV_9_12,OBJECTID,PedFatal,Ped_12_15,Ped_12_3,Ped_15_18,Ped_18_21,Ped_21_24,Ped_3_6,Ped_6_9,Ped_9_12,geometry_x,geometry_y,source_layer_id
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,1,0,0,0,0,0,0,0,1,989752.6497439295,161747.44689625502,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33,1,0,0,1,0,0,0,0,0,980901.565083921,173693.75797733665,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,34,1,0,0,0,0,1,0,0,0,981568.2829105854,175822.82852233946,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,1,0,0,982539.9151536673,177046.00192900002,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,36,1,0,0,1,0,0,0,0,0,984900.0380580872,171853.29905983806,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37,1,0,0,0,0,0,0,0,1,987857.6305680871,171169.40311792493,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,38,1,0,0,0,1,0,0,0,0,988386.376229763,173383.42099958658,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,39,0,0,0,0,0,0,0,0,0,989292.817658335,189689.73615592718,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,40,1,0,0,0,0,0,1,0,0,980125.5787750036,197888.96253958344,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,41,2,0,0,0,0,0,0,0,2,984996.4929176718,199206.97893242538,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,42,1,0,0,0,1,0,0,0,0,992991.5671505928,149241.47617334127,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,43,0,0,0,0,0,0,0,0,0,990046.0021755844,159719.9119093418,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,44,1,1,0,0,0,0,0,0,0,993250.385530591,150725.62576408684,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,45,1,0,0,0,1,0,0,0,0,996882.339880839,157524.57837350667,0
0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,991108.1093033403,165492.82654458284,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,47,1,1,0,0,0,0,0,0,0,996327.5575258434,161351.07006433606,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,48,1,0,0,0,0,1,0,0,0,991817.422517255,171038.37975792587,0
0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,994743.0659441799,176014.22577734292,0
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50,1,0,0,0,0,0,0,1,0,996214.6049958467,179896.05528400838,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,51,1,0,0,1,0,0,0,0,0,997630.2353666723,174017.77012458444,0
