Ages_10_to,Ages_10to1,Ages_15_to,Ages_15to1,Ages_18_an,Ages_18and,Ages_20_to,Ages_20to2,Ages_25_to,Ages_25to4,Ages_45_to,Ages_45to6,Ages_5_to_,Ages_5to9,Ages_65_an,Ages_65and,Ages_Under,BoroCD,Borough_name,CounDist,OBJECTID,Precinct,SUM_ASZ,SUM_BikeFatal,SUM_BikeInj,SUM_Enhanced_Crossings,SUM_Fatalities,SUM_Injuries,SUM_LPI,SUM_Left_Turn_Traffic_Calming,SUM_MVFatal,SUM_MVInj,SUM_NeighSlowZones,SUM_PedFatal,SUM_PedInj,SUM_SIPCorridors,SUM_SIPIntersections,SUM_SignalTiming,SUM_SpeedHumps,SUM_Turn_Traffic_Calming,SUM_VZ_Bike,SUM_VZ_Priority_Corridors,SUM_VZ_Priority_Intersections,SUM_VZ_Priority_Zones,Shape_Area,Shape_Area_1,Shape_Leng,Shape_Length,Shape_Length_1,TotalPop,Total_Pop,geometry_x,geometry_y,source_layer_id
,12390,,13707,,130805,,13189,,48477,,45041,,12366,,18440,12146,501,,,10,,9.584450264582452,0,5,4,1,207,122,4,0,136,10.723777635431706,1,64,20.026135620172578,10,38.721385444033785,203,22,0,22.878041287346093,5,129.77741999422096,376963090.08182627,,157923.967823,157923.214838567,,175756,,,,1
,0,,0,,0,,0,,0,,0,,0,,0,0,228,,,11,,0,0,0,0,0,2,0,0,0,2,0,0,0,0,3,0,3,0,0,0,0,0,91841541.72796789,,110731.293051,110728.00713132115,,0,,,,1
,10980,,12549,,112835,,11392,,41196,,37897,,10546,,17535,10249,212,,,12,,2.0364037928579584,0,7,7,0,186,96,4,0,141,5.313552971380202,0,33,28.480795824856852,14,22.651841477521213,219,10,0,6.94588868245069,5,0,154911394.794944,,83953.6425999,83953.59808143125,,152344,,,,1
,6874,,7709,,54626,,6773,,21608,,16846,,6733,,6377,6842,203,,,13,,2.7402821935567068,0,12,3,1,123,105,1,0,63,5.987423524825629,1,43,15.413324884992676,11,35.38659317732504,62,14,0,7.49397389127438,4,30.671456349101028,44814467.48642706,,33489.4395621,33489.43915187948,,79762,,,,1
,13337,,14616,,146713,,13903,,50458,,53689,,12672,,22908,11960,318,,,14,,4.283949993521101,0,12,10,1,326,98,2,0,271,0,1,41,27.914589280220294,21,31.235617009516158,126,24,4.546595218596369,9.809220391209111,4,0.19841559749698345,235680812.0973726,,190218.255299,190217.17005088035,,193543,,,,1
,10217,,11729,,89872,,11343,,36496,,28672,,10302,,8468,10973,205,,,15,,7.041360831743073,0,8,1,0,121,84,5,0,82,0.03523125716495157,0,30,20.81935973781528,16,41.83626512492703,70,8,0,3.362773151562941,6,37.93846270218373,38309905.502769336,,29400.6991927,29400.700279627697,,128200,,,,1
,9798,,11306,,101188,,11668,,42327,,31236,,10331,,11257,11363,207,,,16,,7.714835385764872,0,9,5,1,111,63,2,0,65,4.7260180137266685,1,35,19.17812919401385,4,19.903822999375926,67,15,0,4.678089616953909,4,28.541941581039577,53294483.213323504,,44767.6406024,44767.50229981721,,139286,,,,1
,6466,,6736,,94340,,6270,,30385,,35650,,5901,,19645,5378,411,,,17,,0,0,2,1,0,88,44,5,0,61,3.1480273422621874,0,24,12.960109975525993,17,17.0646166891769,147,19,0,3.413756013589418,0,0,261007465.2436661,,97726.6630332,97726.49063212695,,116431,,,,1
,7082,,5750,,189242,,12768,,81621,,54870,,8417,,38116,11296,108,,,18,,3.729992278301512,0,19,0,1,89,260,26,0,34,0,1,31,14.249949708041528,7,95.81156970136183,23,51,0,9.124668714015943,7,20.637205681350547,55160145.61612778,,52970.7879296,52970.446137960134,,219920,,,,1
,6136,,9625,,141125,,17003,,55564,,39409,,5924,,23541,6075,103,,,19,,3.5327356969384254,0,15,3,0,91,75,14,0,42,11.362922470145081,0,32,24.850707325347177,2,1.6588999881920656,54,31,0,4.009423230674288,9,28.719666515624574,46907807.069759555,,30364.3863746,30364.371927025364,,163277,,,,1
,10084,,12616,,152713,,17966,,59350,,47034,,9310,,22982,10678,112,,,20,,6.022736514302821,0,5,7,0,131,106,5,0,86,9.956841130832627,0,39,13.167071403087963,8,0.4941506995136771,88,21,0,0,2,0,77972045.91930856,,56216.8267299,56215.47265421238,,190020,,,,1
,12602,,14345,,126518,,13383,,48891,,40677,,12266,,17712,12422,209,,,21,,0,0,2,11,2,147,67,4,1,99,9.484075662356906,1,38,19.57659194003528,5,16.149595360267902,118,10,0,6.116667911047879,2,25.692598068839175,114235599.98917246,,62201.2330853,62200.698613462824,,172298,,,,1
,7432,,9301,,93463,,10747,,36865,,27199,,7038,,14700,7229,111,,,22,,3.627699828944681,0,20,1,0,133,164,13,0,84,0,0,27,19.326807535758388,20,1.6227549152813605,36,29,0,7.298445016190732,3,0,66146613.70632811,,59502.8463432,59502.78262516339,,120511,,,,1
,6920,,8009,,90006,,9434,,37836,,27548,,6783,,11952,7241,110,,,23,,0,1,18,1,1,83,127,2,0,48,0,0,16,12.736578042558577,21,12.4327324688795,66,11,0,2.9369716214735537,3,0,39078710.780653104,,35839.1079406,35838.93175267533,,115723,,,,1
,7801,,9917,,161248,,16700,,77796,,41330,,7797,,20986,8778,401,,,24,,2.028390890585796,0,21,13,1,169,105,2,0,93,7.292132500231675,1,48,35.449455514633954,15,20.37360336304092,191,19,0.4999335727538228,8.340175406239414,2,4.345777942004897,171536968.8774706,,90064.1415772,90061.15818986933,,191105,,,,1
,4299,,4598,,36459,,4744,,15135,,10606,,4248,,4079,4537,202,,,25,,1.3316292715642373,0,3,3,0,103,37,1,0,74,0.2190371380057235,0,24,17.21338520525282,19,5.796571306081756,34,4,0,4.894110019932222,4,12.399072724129311,61860012.71061689,,49604.4730904,49604.32982901151,,52246,,,,1
,14563,,16536,,130993,,15275,,49292,,42053,,13754,,17800,13623,305,,,26,,4.5924451498064105,0,14,4,1,359,168,5,0,279,3.7031828888308933,1,62,35.878648640841845,71,17.19051204385561,112,27,152.58683717218278,10.708974403576319,8,38.84979037134059,155479865.46602464,,65143.906531,65143.42468859922,,182896,,,,1
,8169,,8729,,84281,,7787,,29227,,28608,,8275,,15319,8864,414,,,27,,0,0,2,2,0,99,41,2,0,73,0,0,22,11.74389941013439,39,7.567143406196568,88,10,0,0,2,0,195798159.3910687,,212065.176432,212057.25600410296,,114978,,,,1
,0,,0,,0,,0,,0,,0,,0,,0,0,482,,,28,,0.5457919179537241,0,0,0,0,13,0,2,0,11,0,0,2,3.2269682417747676,2,0,18,5,0,1.1232539610769323,0,0,24492227.599210605,,31123.9689954,31123.846706217413,,0,,,,1
,0,,0,,0,,0,,0,,0,,0,,0,0,483,,,29,,0,0,0,0,0,12,0,0,0,11,0,0,1,0,2,0,0,0,0,0.8645804891548717,0,0,191570710.2397191,,107381.443952,107374.37927493264,,0,,,,1
,7841,,8781,,94956,,8793,,34256,,33458,,7263,,15044,6960,410,,,30,,2.4817144864897425,0,4,0,0,177,66,3,0,134,0,0,39,14.740523952859496,10,24.382738351149378,72,13,1.0133926730202856,5.8894775995788375,3,16.747622511947803,171417885.20679185,,104738.602704,104734.8496909441,,122396,,,,1
,15318,,17439,,171410,,17573,,62677,,57894,,14448,,26287,14283,412,,,31,,6.636697502258262,0,18,1,2,411,174,26,1,283,0,1,107,38.87651011324287,14,94.63613993163534,168,74,0,14.953556250283249,15,60.318217105840425,267333293.25703084,,65933.9423637,65933.84212192472,,225919,,,,1
,5260,,6696,,81209,,7262,,27386,,25534,,5332,,17946,6315,208,,,32,,0,0,3,13,0,84,34,1,0,53,6.746833401117155,0,27,8.617653549930527,11,1.8135924705661073,102,8,0,0.5737070997546625,0,3.2668340953317236,92075819.52586593,,47876.3408484,47875.8810287757,,101731,,,,1
,0,,0,,0,,0,,0,,0,,0,,0,0,226,,,33,,0.06490046330641801,0,0,0,0,2,6,0,0,2,0,0,0,3.414820773231805,0,0.5705992281523614,7,0,0,0.3420724325560078,0,0,50571025.8464674,,32829.4123037,32829.41239372842,,0,,,,1
,9425,,10769,,133837,,14071,,58693,,39092,,10251,,17290,11985,403,,,34,,2.2392872898647123,0,14,0,1,158,177,8,1,99,24.81670581382893,0,42,35.286201852722805,14,44.28449173006749,90,26,95.02826336758022,9.130109546644631,2,65.20790964249211,82996841.5662212,,42134.1308602,42133.89633334239,,171576,,,,1
,6732,,7511,,97914,,10761,,47287,,26418,,7759,,10333,9429,307,,,35,,0.10687516984597625,0,20,4,1,138,178,3,0,78,0,1,31,22.098539744707285,11,27.98047514455218,93,5,2.1100837116646027,3.585413812922507,2,26.15588460027017,104136254.15032499,,88672.447145,88672.44629536214,,126230,,,,1
,6385,,6547,,100215,,7713,,39055,,32821,,6665,,18054,7251,310,,,36,,0,0,17,3,0,114,163,6,0,65,0,0,24,22.764915452148962,8,8.330206631343165,79,20,0,4.354281752859585,0,11.862121654237761,111031899.10854805,,44800.7424084,44800.19139487825,,124491,,,,1
,648,,1857,,47957,,6315,,23252,,11079,,872,,5834,1816,105,,,37,,5.256573776378643,1,42,0,3,191,163,20,0,64,0,2,79,38.264662136990566,22,25.257610323036126,6,31,0,12.24602646038609,19,49.03589585251192,43796753.34385144,,35287.6210046,35287.571265681814,,51673,,,,1
,2263,,4184,,131728,,16318,,56997,,33285,,2840,,22272,4586,106,,,38,,0,0,22,3,0,105,133,29,0,54,0.14581327204242714,0,26,24.17673072215136,5,0,13,55,0,11.800827391279324,6,32.325071237492125,38704918.10670351,,40617.988095,40617.987255600594,,142745,,,,1
,7962,,10699,,120111,,11882,,42331,,39510,,8206,,21082,9435,408,,,39,,0.9993529881887532,0,2,3,0,152,77,2,0,108,0,0,40,15.15060662920722,15,38.39414220714473,126,6,0,7.270768678627309,2,23.01983285782311,207570910.986536,,69466.7091417,69466.60795707768,,151107,,,,1
,9463,,10457,,109343,,11091,,44240,,36229,,8989,,13556,9292,409,,,40,,3.4810864733085243,0,5,0,2,134,107,5,0,103,0,2,24,20.8377961077899,16,10.032611142271543,122,16,0.6705912727175635,11.845365840552299,3,69.01959965363488,107153838.64276852,,49880.0443388,49879.92120779055,,143317,,,,1
,0,,0,,0,,0,,0,,0,,0,,0,0,481,,,41,,0.7449133089595334,0,1,0,0,15,0,0,0,12,0,0,2,2.0221171590306684,3,0,0,0,0.8359537386343744,0.5276647526196777,0,2.1272574591006883,48097943.85191714,,54129.2468109,54128.98580389046,,0,,,,1
,4890,,5257,,93667,,8178,,44962,,26380,,5325,,11972,6236,402,,,42,,8.837329020537021,0,18,1,0,173,94,0,0,110,21.0219040921761,0,34,38.9216770086519,22,14.343271641713097,104,11,1.1314660738901618,6.812434730016548,4,67.33171189775187,139890219.55339307,,72267.6078326,72266.7627845214,,113200,,,,1
,0,,0,,0,,0,,0,,0,,0,,0,0,356,,,43,,0,0,0,0,0,7,0,0,0,5,0,0,2,0.029833968610964007,2,0,0,0,0.8014909073423839,1.6859741821258534,0,0,133619440.26754375,,265367.183914,265356.35604361375,,0,,,,1
,5332,,6427,,84893,,6743,,23763,,29236,,4973,,22547,5257,313,,,44,,0.9889001291889871,0,5,0,0,105,70,5,0,65,0,0,30,4.479410210658924,7,7.003947063547229,42,12,2.1173265267098746,9.292098188436043,7,5.522941616630409,88149032.46483731,,65747.2476804,65745.2858590317,,104278,,,,1
,8891,,9752,,126119,,11080,,40519,,44245,,9087,,26319,9757,315,,,45,,1.6359282315270718,0,10,2,3,182,190,11,0,123,0,3,44,15.85627263130725,0,24.30621308320863,123,41,143.3073061973659,9.376527363845508,7,42.37198431767411,131647154.07896447,,115288.814231,115287.8776971919,,159650,,,,1
,1930,,2616,,94533,,8836,,46081,,26432,,2197,,11858,3295,104,,,46,,0.6907316078904199,0,19,1,0,102,147,14,0,41,0,0,39,25.196799894094546,16,24.906524609477113,29,21,0,11.32674310085459,8,25.439456805102708,49291751.30681616,,67935.2270772,67934.98992602447,,103245,,,,1
,7028,,7218,,178087,,11636,,71965,,56915,,8155,,34707,11460,107,,,47,,7.75882582374475,0,18,9,0,56,178,8,0,16,0,0,21,14.329049270060867,24,8.519971232193974,59,19,0,2.5685461961245273,1,0.4884320136936535,53154186.382290535,,39863.6170106,39863.56602623879,,209084,,,,1
,0,,0,,0,,0,,0,,0,,0,,0,0,355,,,48,,1.161082381894515,0,2,0,0,22,7,1,0,19,0.20531300167813055,0,1,12.042331217600458,14,0,2,3,0,1.248814804146533,0,0,26129307.99398621,,23943.6780812,23943.37156893991,,0,,,,1
,11217,,12927,,204687,,15757,,70784,,72305,,11490,,40611,12263,407,,,49,,1.5649323648918236,0,11,6,1,242,107,13,0,140,0,1,84,21.73295595932978,25,36.24931111958867,115,75,0,14.96771229382839,16,54.24427884576442,328421482.31384784,,140002.368648,140000.17271615675,,247354,,,,1
,7462,,8910,,63593,,8135,,25332,,18343,,7572,,8134,7609,201,,,50,,2.4401633291787235,1,10,1,1,158,72,4,0,106,0,0,40,11.534921542154116,14,6.600937181391724,61,19,0,9.276236829188457,9,34.8648621652009,60404920.4554851,,33328.1286721,33328.12995721919,,91497,,,,1
,11262,,12658,,103817,,12067,,41853,,32447,,11449,,12333,12372,204,,,51,,8.423974553203552,0,7,7,0,110,119,1,0,69,3.022063608062357,0,33,22.24638016289842,23,5.5905579600221404,75,8,0,7.1703831559248785,5,41.942778497363975,55535600.41109174,,31290.1209026,31290.10380381552,,146441,,,,1
,3397,,5219,,84598,,7586,,42093,,21019,,3659,,10812,5832,302,,,52,,4.190029237876294,0,26,7,1,162,124,26,1,96,17.334453056768048,0,36,27.95761504163384,38,15.427878734580077,124,44,1.282281453035592,7.9209335155519724,12,25.8751904556891,79326667.60227369,,74164.312703,74163.99647656805,,99617,,,,1
,4157,,3937,,85528,,5312,,45967,,23206,,5149,,9697,7284,306,,,53,,0.8260581194167002,0,8,6,0,85,130,6,0,55,4.671238693434549,0,16,22.02638528722489,6,15.998399743453719,128,9,0,2.378819211316893,1,6.049111336702832,85495381.01980188,,82090.0194563,82088.99694508278,,104709,,,,1
,6956,,7756,,96140,,7758,,31409,,32914,,6392,,20767,6440,210,,,54,,0,0,4,0,0,89,48,1,0,59,7.713026474329385,0,24,8.971644766824511,9,15.21231655822,126,6,0,2.999982446593895,0,0,179674786.82464808,,280386.637677,280378.9363594896,,120392,,,,1
,0,,0,,0,,0,,0,,0,,0,,0,0,595,,,55,,0,0,0,0,0,6,0,0,0,3,0.254327180458684,0,3,4.076700605575063,2,1.4737122492491193,0,0,0,0.8541909314779658,1,0,54705080.15387668,,110127.743033,110126.287536158,,0,,,,1
,7078,,7768,,87218,,8162,,32953,,27517,,6975,,15485,7294,211,,,56,,0.31328878081724676,0,7,0,0,119,77,3,0,89,4.32446877043498,0,20,14.728282852847723,9,31.17854650156518,143,17,0,6.727680446722157,3,2.5369076527987424,100334016.56499304,,45877.9422009,45877.93055499723,,113232,,,,1
,7885,,8513,,104153,,8400,,34142,,38481,,7471,,19885,7226,502,,,57,,3.0573537197180127,0,2,1,1,240,55,4,0,204,7.401875619860753,1,34,27.86278036783419,14,36.56563821459085,90,11,0,12.025054036291353,9,55.446351771036404,593162525.2447953,,142503.577015,142502.36016033092,,132003,,,,1
,10467,,10678,,124077,,9790,,42548,,46767,,10079,,21009,8871,503,,,58,,0,0,0,0,0,87,45,3,0,72,0,0,15,8.653519851486049,1,3.793973681479622,161,12,0,8.668522281605604,1,0.8829711092240214,598994293.3457943,,189069.319448,189063.31725555795,,160209,,,,1
,0,,0,,0,,0,,0,,0,,0,,0,0,484,,,59,,0,0,0,0,0,1,0,0,0,1,0,0,0,7.543088363957952,4,0,0,0,0,0,0,0,124141249.26600267,,247831.057459,247826.4108592593,,0,,,,1
,1276,,2058,,53009,,7244,,29967,,10818,,2088,,3596,3931,101,,,60,,1.0341163618914488,0,6,1,0,51,43,8,0,26,0,0,19,13.533852442055787,9,2.7147042847689384,3,16,0,0.8263765290529546,3,6.858238337517074,42527339.904453166,,73136.7891033,73136.41717826333,,60978,,,,1
,1670,,4450,,82080,,7381,,37891,,21556,,2203,,11806,3059,102,,,61,,3.5624103875793507,0,25,10,0,80,70,3,0,35,4.763579545738487,0,19,16.768392079234847,13,19.857080490509084,23,11,0,4.918419683295347,3,30.825456044458925,37720145.18116209,,34940.5338127,34940.243592093226,,90016,,,,1
,5492,,6030,,75593,,7753,,34190,,21747,,5373,,9499,6233,308,,,62,,8.774492853680247,0,7,0,0,118,122,9,0,79,7.176112460381313,0,27,12.179844717536017,60,37.781786319513266,85,23,1.0806036592011279,11.020892762338747,11,38.10726564189364,45604094.95866763,,38207.7719954,38207.707429761576,,96317,,,,1
,6042,,6597,,75849,,8200,,28682,,24338,,5954,,11953,6663,309,,,63,,2.7402038991445252,0,6,1,0,71,97,11,0,43,0,0,21,6.6723342907138,40,20.894825910850248,105,25,1.7507265956587295,10.933085425915205,4,30.59418843367926,45329407.1452925,,29962.5693079,29962.514624501724,,98429,,,,1
,6855,,8985,,57802,,8586,,22481,,15847,,6929,,6473,7112,206,,,64,,1.9492820066960383,0,6,1,0,95,87,1,0,62,0,0,25,18.842531296284772,6,8.671207007361653,64,9,0,6.905366349686456,3,45.02413547309626,42893578.5638563,,35831.2369665,35831.235978793346,,83268,,,,1
,0,,0,,0,,0,,0,,0,,0,,0,0,227,,,65,,0,0,1,0,0,14,4,0,0,13,0,0,0,1.0461285961099582,0,0,1,0,0,1.5310966427905484,0,0,31207978.630170245,,28343.9993144,28343.98745465276,,0,,,,1
,4179,,4387,,95367,,5659,,35505,,32065,,4877,,20440,6145,406,,,66,,10.621362191204774,1,5,8,1,88,79,8,0,54,0,0,24,31.2285774854968,26,13.133921948184623,73,22,0.005519457615428252,8.60961483250018,4,27.151483872631378,82688544.59102233,,42753.0190953,42753.01902398986,,113257,,,,1
,11720,,13402,,147998,,13324,,49312,,53126,,10525,,26990,10194,413,,,67,,3.7228152123296536,0,6,2,2,324,97,2,1,277,0,1,39,15.780218527805053,19,20.130025788491864,260,9,0,10.100851547994743,3,0,350483055.2592905,,139775.106836,139774.39457241065,,188593,,,,1
,10480,,11639,,113889,,13663,,48912,,32994,,10463,,13519,11315,303,,,68,,2.3981357601103053,0,17,0,0,182,243,23,0,108,0.4470769205349115,0,49,6.832936769662167,5,62.53305120646337,207,53,76.43502689417524,14.890690241037305,6,60.60418145792674,79461421.1174575,,36213.7114813,36213.711453059215,,152985,,,,1
,7683,,8630,,83984,,11809,,38125,,22003,,7753,,8387,8244,304,,,69,,0.24996539740237841,0,5,0,0,119,64,2,0,69,0,0,40,11.113734249339268,22,16.191068644811626,68,12,55.187354456332756,5.084908148860694,0,19.72416610418696,56668152.79188623,,37027.8932275,37027.853572700114,,112634,,,,1
,9975,,10414,,131819,,16444,,66070,,30395,,11072,,14666,14047,301,,,70,,2.1038467664117473,0,33,6,2,174,167,7,0,96,0,2,35,28.74970960457215,61,13.176766239974986,32,44,2.020206119171124,7.180392725526045,3,34.91043712014371,131764381.09930514,,69086.6037626,69086.60583088355,,173083,,,,1
,9700,,10294,,132709,,11488,,53474,,42984,,9897,,20659,10694,405,,,71,,3.3937163855923687,0,19,1,0,135,115,4,0,86,0,0,26,23.492155096067155,24,41.97758444160857,140,14,171.37165828063047,12.093774574762698,3,37.44162178005596,210385384.54695043,,70097.8308397,70097.67402516656,,169190,,,,1
,5203,,7199,,146145,,16368,,66683,,37925,,6120,,21130,8338,,,1,1,,4.849080206561122,0,31,4,0,149,96,17,0,64,0,0,51,35.21252477961526,12,11.355507157194243,24,32,0,2.9718644951125572,9,40.503423015496644,78675876.24603613,,111818.637401,111818.26684588143,,168966,,,,2
,4031,,10154,,145773,,21670,,62977,,34543,,4072,,19120,4987,,,2,2,,1.6551981649348204,0,18,7,0,108,128,29,0,50,11.362922470145081,0,36,24.707295938582163,6,0,51,63,0,9.190442554327308,13,37.44960003788732,47464103.644621655,,46292.5535045,46292.53873336965,,161554,,,,2
,4755,,4086,,135526,,11142,,52306,,40682,,5434,,29938,6856,,,4,3,,7.238075267455562,1,49,0,3,222,295,33,0,92,0.20450077429153887,2,74,46.27051958959504,16,85.48432191526283,16,54,0,15.765074627163205,11,56.83608570840617,70476596.7891523,,70470.2898973,70470.28917747665,,155199,,,,2
,4035,,3719,,141905,,10381,,65394,,38986,,5199,,25602,7953,,,5,4,,0.20254226721042823,0,15,0,1,55,137,17,0,18,0,1,20,11.324501639088417,2,33.295040786214955,12,38,0,8.385391095059811,4,10.83888623610841,37201411.70998625,,63313.5217223,63313.18155313226,,161269,,,,2
,8277,,9983,,125430,,13858,,51478,,37495,,7837,,18461,8828,,,7,5,,9.752667333473637,0,27,8,0,97,105,9,0,43,0,0,26,15.629099288221035,15,56.94830352395774,57,24,0,2.0070535212574234,4,0,51413487.42742851,,50136.8016421,50136.73519866866,,156217,,,,2
,8230,,12147,,133504,,17989,,52545,,38322,,8136,,18110,8944,,,9,6,,1.404335731951047,1,26,4,1,142,188,8,0,84,0,0,29,16.361348634529623,21,12.4327324688795,77,23,0,4.301492803169207,6,0,57258292.75426672,,47318.1671658,47318.040634461715,,164423,,,,2
,8012,,10221,,107661,,13720,,40657,,33299,,7291,,15564,7883,,,10,7,,4.509911821577978,0,4,5,0,121,0,4,0,81,9.956841130832627,0,35,11.813832863247551,8,0.4941506995136771,75,14,0,0,1,0,73308291.3348137,,64350.9239076,64349.63842701826,,136647,,,,2
,8986,,11887,,127725,,12613,,46310,,39314,,9477,,23533,10802,,,11,8,,4.162357496310547,0,8,14,0,164,0,3,0,106,11.472851414843824,0,46,23.326148123875853,9,5.801137967148571,168,16,0,2.7183313025181652,2,5.652074912706034,205662269.92088804,,86731.940777,86731.50318353149,,162922,,,,2
,11845,,13586,,129141,,12101,,43744,,44763,,11040,,23328,10775,,,12,9,,2.188329379870264,0,6,7,0,162,0,2,0,119,7.643573292596067,0,34,29.156136620678005,12,23.03186632695584,183,8,0,5.781830406813535,3,0,137960674.386168,,56964.599023,56964.55551608066,,171182,,,,2
,12073,,14036,,113337,,13794,,46284,,35278,,12106,,12152,13153,,,14,10,,9.895091191611753,0,14,7,1,177,0,5,0,113,2.722235832987091,1,48,20.13558921213161,18,42.452751732673335,92,15,0,5.36696875244625,11,46.36666462900727,51654657.55401618,,48426.4078388,48426.136555380435,,158876,,,,2
,13639,,15429,,116709,,15177,,47839,,35027,,13877,,12405,14602,,,15,11,,4.613047993277425,0,11,2,0,177,0,4,0,131,0.020298801975071324,0,31,34.02127655354394,17,25.245513503609555,112,16,0,12.96698882383036,6,61.30174662525961,97486220.42658533,,63471.8886871,63471.88946068498,,167995,,,,2
,14442,,16167,,123105,,14623,,49189,,38857,,14521,,13916,15241,,,16,12,,5.964496418514947,0,9,4,1,127,0,1,0,73,0.9162444204032134,1,43,22.006454028464304,23,27.004483108311447,75,13,0,9.231828355532182,4,45.682211015797456,57851963.40142742,,70445.323461,70445.16698136413,,176956,,,,2
,12388,,14084,,124344,,13183,,48108,,39835,,12041,,17477,12294,,,18,13,,0,0,1,11,2,134,0,4,1,90,13.863254986591937,1,35,17.8954327185208,4,16.149595360267902,125,10,0,5.862448529530511,2,25.128518185394427,106367262.31279573,,62043.9011567,62043.365350333734,,169410,,,,2
,6865,,8564,,134236,,11144,,47688,,47802,,7244,,24029,7577,,,20,14,,1.5378237196470244,0,7,0,1,154,0,12,0,72,0,1,69,18.95714553203213,19,29.08587136089096,60,66,0,13.69529242857687,14,53.19922123700763,142121331.94831356,,60347.2337998,60347.15960398086,,160913,,,,2
,9966,,11760,,130810,,16222,,62215,,34372,,11592,,12869,13674,,,21,15,,3.465747932011384,0,17,1,1,171,0,6,1,106,13.752290095434452,0,44,25.44657918360472,14,26.45636434344731,66,29,83.8499480251264,8.673936219830733,6,65.57627806534038,132386814.1302314,,78689.5338974,78689.19001390558,,172670,,,,2
,5308,,7012,,125830,,12933,,62009,,31247,,5363,,16422,6215,,,22,16,,0,0,9,11,1,133,0,2,0,76,12.868333084190855,1,45,26.83167659749535,8,23.862420357494823,182,11,18.736855019587463,4.112992795047048,2,7.821116279918659,143919709.20944905,,89182.7438163,89179.86257142406,,146509,,,,2
,8768,,11757,,132826,,13463,,47958,,42935,,9187,,22656,10724,,,24,17,,2.071516457911625,0,3,1,1,209,0,15,1,139,0,0,65,13.192375459022937,22,15.843208033287414,99,38,0,8.416910525748758,8,34.477324443812265,185607326.77013564,,62126.6513562,62126.64449785507,,167448,,,,2
,8188,,8916,,130858,,11577,,53328,,42330,,8623,,19865,9733,,,25,18,,6.832511820136376,0,9,4,0,83,0,17,0,37,17.715656253291332,0,33,30.272122836988128,38,34.263199271016646,73,45,74.72484563919737,7.92011463867578,5,73.35073351931185,63563192.87028972,,44472.5287902,44472.528598581725,,162560,,,,2
,7586,,8375,,131894,,12187,,61936,,37293,,7964,,17005,9073,,,26,19,,9.862800029785848,0,31,3,0,220,0,0,0,129,21.0219040921761,0,46,47.42423589490148,30,15.498293853104144,120,19,0,11.290536059083484,4,64.86571803186278,151969841.66111138,,76159.1466557,76158.56726862432,,161419,,,,2
,10152,,11912,,119951,,11872,,41732,,40943,,9442,,20649,9196,,,27,20,,4.547819762444665,0,8,1,0,271,0,11,0,198,0,0,62,33.78710467662693,9,62.47435290409414,150,36,0,10.00410584951819,6,31.71654868251565,221759404.066369,,82528.8876261,82528.88841702418,,155898,,,,2
,10352,,11520,,126757,,11172,,45024,,45242,,9657,,20870,9469,,,32,21,,2.282624815821994,0,4,1,2,185,0,4,0,142,0,2,37,39.95047371747862,39,14.783112088402056,134,11,1.6169576340843101,8.930128211327926,4,28.8490401028817,310184823.0927777,,311382.644188,311375.3615239989,,163306,,,,2
,8898,,8931,,130594,,12477,,66883,,32763,,10855,,14741,15187,,,33,22,,4.133269292853067,0,32,3,2,197,0,23,1,122,15.778472680516971,1,39,36.35139034922664,73,9.835939282258309,87,71,7.944919149278936,9.71706139131997,11,36.08516656930572,124116407.22277004,,132675.812958,132675.46256082287,,170735,,,,2
,9250,,10364,,119814,,13694,,56212,,33009,,10424,,12544,11785,,,38,23,,0,0,30,10,1,209,0,5,0,113,0,1,51,24.765216312609347,19,36.81708504850117,87,33,12.081636938104712,5.32697309810004,3,42.54446263325261,138429073.87472868,,150344.001442,150343.166464366,,157282,,,,2
,12463,,14168,,120682,,12977,,42917,,39839,,11878,,19347,11561,,,42,24,,0,0,13,5,2,326,0,2,1,247,5.117036706117196,1,63,43.02591485874881,55,20.52203402724408,87,25,104.87299403647566,9.421328439483657,9,40.77978117529951,200990392.28540197,,229297.922117,229293.4612547223,,165150,,,,2
,9025,,9219,,135762,,11050,,52171,,44777,,9024,,24120,9712,,,43,25,,0,0,13,1,1,159,0,8,0,101,0,1,35,24.51761770811877,8,19.09326528913286,108,23,0,6.419605025635095,0,5.242172227342643,146837942.97913438,,85442.8358552,85441.23003579603,,169098,,,,2
,9306,,10233,,107806,,10457,,37842,,37991,,8566,,17386,8652,,,45,26,,4.391851678201705,0,8,2,1,302,0,7,0,229,0,1,58,17.697077979694527,34,43.93318337113031,122,29,81.43653583947754,12.556997741876337,8,11.6567909521277,116764855.82766572,,64758.7205641,64758.72015417324,,140433,,,,2
,10554,,11396,,128216,,11093,,42175,,48341,,10221,,22149,9750,,,46,27,,2.3381687717559525,0,10,11,1,216,0,4,0,179,0,1,25,22.33276226981095,7,22.05412307613014,111,18,28.534656869756958,9.258474658213315,4,0,278450899.4002629,,254856.916088,254851.73814364706,,165679,,,,2
,10183,,10502,,122474,,9746,,42553,,46132,,9865,,20114,8811,,,51,28,,0,0,0,0,0,114,0,3,0,92,0,0,22,10.037320131621543,3,10.740624095406384,149,12,0,7.879497072126445,1,2.5153482509431746,655545440.3170166,,195569.998279,195561.9346697354,,157906,,,,2
