Ages_10_to,Ages_10to1,Ages_15_to,Ages_15to1,Ages_18_an,Ages_18and,Ages_20_to,Ages_20to2,Ages_25_to,Ages_25to4,Ages_45_to,Ages_45to6,Ages_5_to_,Ages_5to9,Ages_65_an,Ages_65and,Ages_Under,BoroCD,Borough_name,CounDist,OBJECTID,Precinct,SUM_ASZ,SUM_BikeFatal,SUM_BikeInj,SUM_Enhanced_Crossings,SUM_Fatalities,SUM_Injuries,SUM_LPI,SUM_Left_Turn_Traffic_Calming,SUM_MVFatal,SUM_MVInj,SUM_NeighSlowZones,SUM_PedFatal,SUM_PedInj,SUM_SIPCorridors,SUM_SIPIntersections,SUM_SignalTiming,SUM_SpeedHumps,SUM_Turn_Traffic_Calming,SUM_VZ_Bike,SUM_VZ_Priority_Corridors,SUM_VZ_Priority_Intersections,SUM_VZ_Priority_Zones,Shape_Area,Shape_Area_1,Shape_Leng,Shape_Length,Shape_Length_1,TotalPop,Total_Pop,geometry_x,geometry_y,source_layer_id
9964,,11035,,119802,,11496,,42595,,42093,,9397,,19202,,9688,,,,40,67,1.8717739252049475,0,15,0,1,261,142,6,0,183,0,1,56,17.679522195112742,31,23.717626428318543,102,30,95.76703324684655,14.289136329883389,12,35.32885264593414,93744703.43469885,,43288.8820292,43288.881553938394,,,155443,,,0
6389,,6550,,100241,,7714,,39073,,32823,,6668,,18058,,7253,,,,41,68,0,0,17,3,0,116,163,6,0,67,0,0,24,22.77802089626123,8,8.330206631343165,79,20,0,4.354281752859585,0,12.01067869027227,110941217.18220863,,44530.5015554,44529.950977730856,,,124528,,,0
5970,,6898,,63793,,6501,,22531,,23317,,5440,,8717,,5106,,,,42,69,0,0,3,3,1,136,37,1,0,113,0,1,19,10.927310680091528,3,10.195384940204455,32,11,0.8632851133945834,2.4843660770670644,2,0.19841559749698345,107326363.21033034,,119423.914522,119423.47177349192,,,84480,,,0
10730,,11631,,120633,,12650,,45277,,39782,,10597,,18317,,11680,,,,43,70,2.633078677815685,0,13,5,0,142,129,7,0,81,0,0,45,12.887589388671731,7,48.037996294386474,95,28,82.63684139216731,10.79789631666963,4,39.30337983996332,82175324.2538442,,49079.6913718,49079.691356528354,,,160664,,,0
6042,,6597,,75849,,8200,,28682,,24338,,5954,,11953,,6663,,,,44,71,4.556168220296974,0,9,1,0,100,98,12,0,61,0,0,29,6.6723342907138,62,20.894825910850248,105,32,1.7507265956587295,11.198273426992078,10,30.725442599371057,45331560.71522108,,29987.8736968,29987.87316254612,,,98429,,,0
6728,,7508,,97888,,10760,,47269,,26416,,7756,,10329,,9427,,,,45,72,0.02013493113648691,0,21,4,1,137,178,3,0,76,0,1,31,22.207525254093166,11,27.98047514455218,93,6,2.038759625548914,3.684032627652774,2,26.15588460027017,104666070.6166358,,89196.8944998,89196.89370217595,,,126193,,,0
7362,,8320,,60637,,7220,,22914,,19036,,6742,,8157,,6717,,,,46,73,4.728010351586997,0,5,3,1,142,122,0,1,104,3.6163532140822094,0,30,16.799203071279624,28,21.234667038772717,55,11,3.62892173002736,6.330021570208344,4,53.47813606924537,51771865.42936166,,33034.6609396,33034.66105724822,,,86468,,,0
14581,,16554,,131352,,15298,,49410,,42192,,13774,,17870,,13649,,,,47,75,4.5924451498064105,0,14,4,1,363,168,5,0,283,3.811828602926197,1,62,35.83473807793825,71,17.19051204385561,112,28,152.60626476428482,10.708974403576319,8,38.8607693588979,183254300.73161003,,109882.554523,109878.00885752651,,,183328,,,0
1979,,2003,,35118,,2250,,18442,,9259,,2256,,4418,,3087,,,,48,76,0.3991840920075225,0,4,6,0,30,30,2,0,22,3.060966459780945,0,4,7.096651251346492,3,7.285904768184283,46,4,0,0.4873918562527704,0,0.8215688398545931,48238592.35215649,,68148.4716175,68147.63726319197,,,43694,,,0
5492,,6030,,75585,,7751,,34184,,21747,,5373,,9499,,6233,,,,49,77,6.958528532527798,0,5,0,0,97,118,10,0,66,4.687371246209203,0,21,11.416596811395882,42,37.781786319513266,76,22,1.0190911315937132,10.535772097086351,5,36.26540879497903,42649302.48542568,,34662.0132823,34662.013277717495,,,96309,,,0
